# ra_deg|dec_deg|mag|type|designation|proper_name
302.3535|36.8442|4.82|bn|Ced 177|
130.2954|-47.3071|4.85|bn|Ced 106k|
307.5148|48.9516|4.95|rn|VdB 134|
270.9040|-24.3780|5.00|bn|M 8|Lagoon Nebula
238.4012|-4.5906|5.00|oc|LDN 134|
255.0504|-16.2299|5.00|oc|LDN 146|
238.5508|-2.8283|5.00|oc|LDN 183|
274.0620|-2.5470|5.00|oc|LDN 507|
296.6000|19.0420|5.00|oc|LDN 758|
86.1240|9.1483|5.00|oc|LDN 1594|
131.9750|-42.4500|5.00|oc|Cr 203|
161.3175|-59.7214|5.00|oc|Cr 233|η Car Cluster
161.3375|-59.7500|5.00|oc|Cr 234|
92.2250|24.3330|5.10|oc|NGC 2168|Shoe-Buckle Cluster
240.8210|-60.4320|5.10|oc|NGC 6025|
279.0997|-23.9047|5.10|gc|NGC 6656|Great Sagittarius Cluster
99.4250|4.7333|5.10|oc|Cr 107|
265.1754|-53.6743|5.17|gc|NGC 6397|
57.3127|24.1568|5.18|bn|Ced 19p|
332.8742|59.4270|5.19|bn|Ced 199|
40.5210|42.7620|5.20|oc|NGC 1039|Spiral Cluster
250.3330|-48.7630|5.20|oc|NGC 6193|
301.4960|35.7770|5.20|oc|NGC 6871|
111.1803|-16.1961|5.20|bn|Ced 99|
130.4760|-45.4084|5.23|bn|Ced 106l|
61.6589|27.6209|5.27|bn|Ced 27|
304.2000|-79.0400|5.30|oc|Cr 411|
174.0750|-61.6150|5.30|oc|NGC 3766|Pearl Cluster
250.3933|-17.7422|5.30|rn|VdB 109|
106.6699|-11.2940|5.38|rn|VdB 95|
83.8200|-26.5330|5.40|gc|NGC 6121|Crab Globular Cluster
102.0710|41.0780|5.40|oc|NGC 2281|Broken Heart Cluster
244.7080|-57.9350|5.40|oc|NGC 6087|S Nor Cluster
97.8250|5.9167|5.40|oc|Cr 97|
273.8166|-20.7368|5.42|bn|Ced 156|
56.2114|24.2990|5.43|bn|Ced 19c|
238.4695|-24.5474|5.44|bn|Ced 125c|
218.9040|-56.6180|5.50|oc|NGC 5662|Gypsy Moth Cluster
263.0620|-32.5970|5.50|oc|NGC 6374|
269.2670|-18.9850|5.50|oc|NGC 6494|
278.0000|-10.8000|5.50|bn|IC 1287|
160.9833|-59.5500|5.50|oc|Cr 230|
127.2650|-47.9341|5.52|bn|Ced 106b|
88.0750|32.5530|5.60|oc|NGC 2099|January Salt-and-Pepper Cluster
211.8620|-48.3430|5.60|oc|NGC 5460|
243.2960|-54.2180|5.60|oc|NGC 6067|
352.4220|49.1700|5.60|oc|NGC 7686|
301.1507|32.2186|5.63|rn|VdB 128|
138.0129|-64.8635|5.69|gc|NGC 2808|
314.0000|47.4000|5.69|rn|IC 5076|
29.4210|37.7850|5.70|oc|NGC 752|
266.0790|-32.3620|5.70|oc|NGC 6416|
94.5000|23.6333|5.70|oc|Cr 89|
263.6586|-32.5861|5.71|bn|Ced 147|
80.5000|8.3000|5.77|bn|VdB 38|
118.0420|-38.5300|5.80|oc|NGC 2477|Electric Guitar Cluster
123.4290|-5.7500|5.80|oc|NGC 2548|
246.3330|-40.6530|5.80|oc|NGC 6124|
250.4235|36.4613|5.80|gc|NGC 6205|Great Star Cluster in Hercules
56.4896|24.5634|5.85|bn|Ced 19h|
92.1000|13.9900|5.90|oc|NGC 2169|The 37 Cluster
105.6979|-8.3378|5.90|oc|NGC 2323|Heart-Shaped Cluster
206.6460|-62.9170|5.90|oc|NGC 5281|Little Scorpion Cluster
254.4920|-45.9430|5.90|oc|NGC 6250|
271.0540|-22.4900|5.90|oc|NGC 6531|Webb's Cross
39.3250|55.9833|5.90|oc|Cr 29|
127.2754|-44.1673|5.94|bn|Ced 106a|
42.9948|68.8885|5.96|rn|VdB 9|
84.0750|34.1400|6.00|oc|NGC 1960|Pinwheel Cluster
102.9380|0.4600|6.00|oc|NGC 2301|Hagrid's Dragon Cluster
155.3420|-51.7280|6.00|oc|NGC 3228|Queen's Cache Cluster
208.4870|-61.8680|6.00|oc|NGC 5316|
259.6040|-42.9330|6.00|oc|NGC 6322|
274.2482|-15.0111|6.00|oc|NGC 6605|
79.3500|34.3800|6.00|en|IC 405|Flaming Star Nebula
351.4460|74.2930|6.00|oc|LDN 1262|
61.1580|56.9370|6.00|oc|LDN 1389|
76.0404|32.7192|6.00|oc|LDN 1512|
48.9499|57.1406|6.00|rn|VdB 10|
325.1804|54.8722|6.00|rn|VdB 144|
