# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
11.5490|-22.5221|5.49|0.978|||
11.6373|15.4755|5.36|1.559|||Psc
11.7561|11.9738|5.51|0.987|||Psc
11.8347|24.2672|4.08|1.100|ζ||And
11.8485|6.7410|5.98|0.941|||Psc
11.9301|-18.0613|5.70|1.300|||
11.9419|74.8476|5.42|-0.066|||Cas
12.0044|-21.7225|5.57|-0.058|||
12.0381|72.6745|5.86|1.010|||
12.0725|7.2999|5.92|1.104|||Psc
12.0957|5.2806|5.74|0.890|GJ33||
12.1476|-74.9234|5.09|1.345|λ||Hyi
12.1706|7.5851|4.44|1.500|δ|Kuton|Psc
12.2084|50.9682|4.90|-0.091|ν||Cas
12.2446|16.9406|5.07|0.502|||Psc
12.2762|57.8152|3.46|0.587|η|Achird|Cas
12.3081|-24.1367|5.90|0.944|||
12.3567|-13.5613|5.59|1.325|||
12.4535|41.0789|4.53|-0.136|ν||And
12.4715|27.7103|5.55|0.398|i||Psc
12.5316|-10.6443|5.17|0.514|φ2||Cet
12.6716|-50.9868|5.24|0.356|ρ||Phe
12.6817|64.2475|5.35|0.528|||
13.1693|-24.0058|5.47|1.275|||
13.2521|-1.1443|4.78|1.550|||Cet
13.2675|61.1240|4.80|0.540|GJ41||
13.4078|-62.8714|5.73|1.574|BQ||Tuc
13.6468|19.1884|5.80|-0.016|||Psc
13.7212|83.7074|5.59|0.105|||
13.7421|23.6283|5.46|1.012|||And
13.7507|58.9727|4.83|1.216|υ1||Cas
13.7513|-69.5271|5.45|1.095|λ2||Tuc
13.9267|-7.3471|5.88|1.520|||
14.0062|-11.2665|5.35|1.505|φ3||Cet
14.1663|59.1811|4.62|0.957|υ2|Castula|Cas
14.1772|60.7167|2.15|-0.046|γ|Navi|Cas
14.1884|38.4993|3.86|0.130|μ||And
14.1957|60.3628|5.56|-0.054|||
14.3017|23.4176|4.40|0.940|η||And
14.4590|28.9922|5.44|1.076|h||Psc
14.5592|33.9509|5.99|1.000|||
14.6294|66.3518|5.97|-0.008|||
14.6515|-29.3574|4.30|-0.154|α||Scl
14.6828|-11.3800|5.62|0.949|φ4||Cet
15.0148|44.7132|5.69|-0.010|||
15.3261|-38.9165|5.59|1.185|ξ||Scl
15.6101|-31.5520|5.50|0.083|σ||Scl
15.7046|31.8043|5.50|-0.043|σ||Psc
15.7050|-46.3973|5.39|0.900|||
15.7261|41.3452|5.95|0.161|||And
15.7359|7.8901|4.27|0.952|ε||Psc
15.7606|-4.8366|5.40|1.106|||Cet
15.9042|61.0748|5.92|0.512|||
16.0100|52.5022|5.99|1.447|||
16.0810|61.5802|5.83|0.569|||
16.2723|14.9461|5.64|0.420|||Psc
16.4206|21.4732|5.33|0.003|ψ1||Psc
16.4238|21.4654|5.55|-0.048|ψ1||Psc
16.5215|-9.8394|5.58|0.009|||Cet
16.5210|-46.7184|3.32|0.885|β||Phe
16.8278|-61.7753|5.36|0.884|ι||Tuc
16.9425|-9.7856|5.71|0.446|||Cet
16.9494|-41.4869|5.21|0.159|υ||Phe
16.9882|20.7391|5.56|0.121|ψ2||Psc
17.0035|43.9421|5.04|0.109|||And
17.0683|54.9203|5.17|0.704|μ|Marfak|Cas
17.0925|5.6498|5.51|0.334|e||Psc
17.0962|-55.2458|3.94|-0.120|ζ|Wurren|Phe
17.1394|58.2634|5.77|-0.019|||
17.1475|-10.1823|3.46|1.161|η|Dheneb|Cet
17.1870|86.2571|4.24|1.213|||UMi
17.3755|47.2418|4.26|0.012|φ||And
17.4330|35.6206|2.07|1.576|β|Mirach|And
17.4550|19.6584|5.57|0.697|ψ3||Psc
17.5781|42.0815|5.67|0.603|||And
17.5810|25.4578|5.81|1.466|||
17.6398|2.4457|5.97|1.491|||Cet
17.6638|68.7786|5.32|-0.014|||Cas
17.7757|55.1499|4.34|0.170|θ|Marfak|Cas
17.7782|31.4247|5.15|0.261|g||Psc
17.7928|37.7241|5.80|-0.095|||And
17.8565|64.2027|5.56|-0.052|||
17.8634|21.0347|4.66|1.024|χ||Psc
17.9152|30.0896|4.51|1.092|τ||Psc
17.9225|65.0189|5.57|-0.072|||Cas
17.9313|-2.2511|5.93|1.403|||Cet
18.0701|79.6740|5.60|0.008|||
18.1893|-37.8565|5.95|0.281|AI||Scl
18.4329|7.5754|5.21|0.320|ζ|Revati|Psc
18.4373|24.5837|4.67|1.047|φ||Psc
18.5318|16.1335|5.97|-0.082|||Psc
18.6002|-7.9228|5.14|0.448|||Cet
18.7049|-0.9738|5.70|0.428|||Cet
18.7963|-45.5317|4.97|0.571|ν||Phe
18.9423|-68.8759|4.25|0.480|κ||Tuc
19.0496|71.7438|5.87|2.042|V0762||Cas
19.1512|-2.5004|5.42|0.888|||Cet
19.4498|3.6145|5.13|0.071|f||Psc
19.8666|27.2641|4.74|0.032|υ||Psc
19.9512|-0.5090|5.87|0.635|||Cet
20.0205|58.2316|4.95|0.683|φ||Cas
20.2807|28.7382|5.23|1.396|l||Psc
20.5851|45.5288|4.87|1.077|ξ|Adhil|And
20.8540|20.4690|5.97|1.677|||
20.8790|-30.9456|5.84|1.612|||
20.9192|37.7149|5.60|0.276|||And
21.0059|-8.1833|3.60|1.065|θ|Al Naymat|Cet
21.0854|-6.9147|5.92|0.407|||
21.1699|-41.4925|5.42|1.030|||
21.2721|-64.3695|5.92|1.561|||
21.4051|-14.5988|4.90|1.231|||Cet
21.4540|60.2353|2.66|0.160|δ|Ruchbah|Cas
21.4834|68.1300|4.72|1.047|ψ||Cas
21.5636|19.1723|5.35|0.395|ρ||Psc
21.5779|43.4577|5.98|0.520|||
