# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
48.7254|21.0444|4.87|-0.007|ζ||Ari
48.8352|30.5567|5.61|0.012|||
48.9499|57.1406|5.79|0.644|||
48.9584|-8.8197|4.80|0.232|ζ|Zibal|Eri
48.9903|-77.3885|5.51|0.438|ι||Hyi
49.0508|50.9377|5.04|1.107|||
49.1466|32.1840|5.98|0.988|V0573||Per
49.3608|-47.7517|5.84|1.228|||
49.4423|-62.5753|5.53|0.641|ζ1||Ret
49.4406|39.2834|5.97|0.056|||
49.4473|44.0250|5.49|-0.060|||Per
49.5108|-28.7971|5.93|0.337|||
49.5534|-62.5064|5.24|0.600|ζ2||Ret
49.5921|-22.5111|4.86|0.904|||Eri
49.5934|-0.9303|5.62|1.050|||Cet
49.6573|50.2222|5.16|-0.073|||Per
49.6715|-18.5598|5.72|0.381|||
49.6826|34.2227|4.85|1.491|||
49.7818|50.0950|5.05|-0.067|||Per
49.8404|3.3702|4.84|0.681|κ||Cet
49.8792|-21.7579|3.70|1.614|τ4|Angetenar|Eri
49.8954|-24.1229|5.63|1.663|||
49.9819|-43.0698|4.26|0.711|e||Eri
49.9825|27.0711|5.91|0.860|||Ari
49.9970|65.6523|4.74|-0.108|BK||Cam
50.0823|77.7347|5.44|0.211|||
50.0848|29.0485|4.47|1.555|||
50.2783|3.6756|5.70|0.964|||Cet
50.3068|21.1471|5.27|-0.067|τ||Ari
50.3500|-23.6351|5.50|0.885|||
50.3607|43.3297|4.96|0.051|l||Per
50.4689|49.0709|5.94|0.468|||
50.5496|27.6076|5.55|1.100|||Ari
50.6885|20.7421|5.10|1.231|||Ari
50.8050|49.2133|5.32|-0.076|V0575||Per
51.0770|24.7241|5.50|1.190|||Ari
51.0807|49.8612|1.79|0.481|α|Mirfak|Per
51.1238|33.5360|5.78|-0.001|||
51.1690|64.5860|5.13|2.038|CQ||Cam
51.2033|9.0289|3.61|0.887|ο||Tau
51.4011|-69.3364|5.96|0.415|||
51.5939|-27.3175|5.93|0.934|||
51.7923|9.7327|3.73|-0.082|ξ||Tau
51.8893|-35.6813|5.71|1.284|χ2||For
52.0039|-11.2866|5.74|1.102|||
52.0128|49.0629|4.99|-0.091|||
52.0862|33.8076|5.72|0.048|||
52.2180|49.8484|5.58|-0.054|||
52.2672|59.9403|4.21|0.419|CS||Cam
52.3419|49.5089|4.67|-0.096|||Per
52.3445|-62.9375|4.71|0.410|κ||Ret
52.4001|-12.6747|5.57|0.171|||
52.4781|58.8787|4.55|0.489|CE||Cam
52.4798|-42.6343|5.76|0.205|||
52.4954|-78.3518|5.68|0.932|||
52.5008|55.4518|5.09|0.022|||
52.6020|11.3364|5.14|-0.041|s||Tau
52.6437|47.9952|4.36|1.367|σ||Per
52.6540|-47.3751|5.98|0.116|TU||Hor
52.6540|48.1036|5.82|-0.033|||
52.6544|-5.0751|4.74|-0.092|v||Eri
52.6892|6.1887|5.93|0.953|||
52.7154|-66.4897|5.81|-0.055|||
52.7182|12.9367|4.14|1.112|f||Tau
53.0358|48.0235|5.47|-0.101|V0396||Per
53.0839|84.9110|5.62|0.894|||
53.1094|46.0569|5.30|0.398|||Per
53.1450|-50.3786|5.67|1.101|||
53.1498|9.3734|5.76|-0.072|t||Tau
53.1667|35.4617|5.91|-0.084|||
53.2327|-9.4583|3.72|0.881|ε|Ran|Eri
53.3960|39.8995|5.79|0.139|IW||Per
53.4127|54.9749|5.98|0.114|||
53.4470|-21.6329|4.26|-0.106|τ5||Eri
53.6109|24.4644|5.95|0.123|||Tau
53.9903|-11.1938|5.56|0.915|||
54.0726|-17.4671|5.24|-0.117|||Eri
54.1224|48.1926|4.32|-0.058|ψ||Per
54.1970|0.5878|5.82|0.885|V0711||Tau
54.2183|0.4017|4.29|0.575|||Tau
54.2737|-40.2745|4.57|1.023|y||Eri
54.6219|-7.3919|5.86|0.980|||
54.7547|-5.6262|5.97|0.921|||Eri
54.9630|3.0569|5.55|0.931|||Tau
55.1597|-5.2107|5.53|-0.145|||Eri
55.2827|37.5802|5.55|-0.062|||
55.5389|63.2168|5.06|1.651|BD||Cam
55.5621|-31.9384|4.99|-0.159|δ||For
55.5790|19.7003|5.68|-0.016|||Tau
55.5944|33.9650|4.97|-0.048|o||Per
55.6781|59.9694|5.74|1.736|||
55.7086|-37.3135|4.59|1.191|h||Eri
55.7313|47.7876|3.01|-0.125|δ||Per
55.8121|-9.7634|3.52|0.915|δ|Rana|Eri
55.8910|-10.4857|5.59|0.216|||
56.0499|-64.8069|3.84|1.133|β||Ret
56.0797|32.2882|3.84|0.022|ο|Atik|Per
56.1271|-1.1631|5.24|-0.088|||Eri
56.1310|36.4601|5.60|0.062|||
56.2009|24.2895|5.45|-0.034||Celaeno|Tau
56.2189|24.1133|3.72|-0.105||Electra|Tau
56.2354|-0.2967|5.56|1.411|||Eri
56.2906|24.8393|5.66|-0.064|||Tau
56.2985|42.5785|3.77|0.425|ν||Per
56.3021|24.4673|4.30|-0.110|q|Taygeta|Tau
56.3162|-47.3595|5.72|0.961|||
56.4185|6.0500|5.34|-0.099|u||Tau
56.4567|24.3677|3.87|-0.063||Maia|Tau
56.4770|24.5545|5.76|-0.036||Asterope|Tau
56.4969|45.6819|5.66|-0.080|||
56.5039|67.2016|5.79|0.347|||
56.5097|63.3450|4.78|0.747|||
56.5356|-12.1016|4.43|1.604|π||Eri
56.5390|6.8035|5.91|0.992|||
56.5816|23.9484|4.14|-0.051||Merope|Tau
56.6143|-29.3382|5.91|0.110|σ||For
56.7120|-23.2497|4.22|0.434|τ6||Eri
56.8098|-74.2390|3.26|1.590|γ||Hyi
56.8712|24.1051|2.85|-0.086|η|Alcyone|Tau
56.9152|-23.8747|5.24|0.075|τ7||Eri
56.9835|-30.1679|5.52|0.973|ρ||For
57.0678|11.1433|5.08|-0.125|e||Tau
57.0867|23.4212|5.44|-0.067|||
57.1495|-37.6202|4.30|-0.038|f||Eri
57.1488|-20.9030|5.81|1.602|||
57.1623|0.2279|5.91|1.224|||
57.2838|43.9631|5.95|0.279|V0376||Per
57.2906|24.0534|3.62|-0.070||Atlas|Tau
57.2967|24.1367|5.05|-0.082||Pleione|Tau
57.3072|70.8710|5.40|0.096|||
57.3635|-36.2003|4.17|0.927|g||Eri
57.3803|65.5260|4.39|1.870|BE||Cam
57.3862|33.0914|5.14|0.057|n||Per
57.4025|63.2970|5.82|0.189|||
57.5184|44.9679|5.65|0.779|||
57.5789|25.5794|5.24|0.231|||
57.5896|71.3323|4.59|0.064|γ||Cam
57.9738|34.3591|5.78|-0.036|||
58.0010|6.5349|5.66|0.046|||Tau
58.1736|-5.3613|5.48|-0.090|||Eri
58.2919|17.3271|5.97|0.354|||
58.3888|-46.8937|5.93|1.220|||
58.4113|48.6505|5.76|1.040|||
58.4123|-34.7323|5.11|-0.133|i||Eri
58.4279|-24.6122|4.64|-0.136|τ8||Eri
58.4304|57.9751|5.80|0.182|||
58.5330|31.8836|2.84|0.271|ζ|Atik|Per
58.5729|-2.9547|4.46|0.672|w||Eri
58.5965|-40.3570|5.70|0.599|||
58.8172|-12.0991|5.99|0.323|DO||Eri
58.9924|47.8714|5.39|-0.073|||
59.1195|35.0809|5.49|-0.058|||
59.1522|50.6954|5.28|0.425|A||Per
59.2170|22.4780|5.62|0.345|||Tau
59.2845|61.1089|4.99|1.435|||
59.3560|63.0723|4.95|-0.074|||
59.4635|40.0102|2.90|-0.199|ε||Per
59.5074|-13.5085|2.97|1.588|γ|Zaurak|Eri
59.6865|-61.4002|4.56|1.590|δ||Ret
59.7183|-5.4699|5.85|1.001|||
59.7413|35.7910|3.98|0.016|ξ|Menkib|Per
59.8755|-12.5744|5.61|1.479|||
59.9812|-24.0162|4.62|-0.121|τ9||Eri
60.1694|-30.4907|5.93|0.036|||
60.1701|12.4903|3.41|-0.099|λ||Tau
60.2032|18.1940|5.89|0.319|||
60.2242|-62.1593|4.48|1.500|γ||Ret
60.3256|-61.0788|4.97|1.386|ι||Ret
60.3835|-1.5497|5.28|-0.133|||Eri
60.4422|9.9980|5.67|0.005|||
60.6531|-0.2689|5.38|0.516|GJ159||
60.7891|5.9893|3.91|0.032|ν||Tau
60.9359|5.4356|5.32|-0.080|||Tau
60.9859|8.1973|5.45|0.371|||
61.0411|2.8269|5.36|0.505|||
61.0903|24.1060|5.46|0.813|||Tau
61.0946|-12.7923|5.62|1.062|||
61.1132|59.1555|5.00|0.495|||
61.1738|22.0819|4.36|1.064|A1||Tau
61.3344|22.0089|5.90|0.620|A2||Tau
61.4060|-27.6518|5.59|0.324|Wo9143||
61.5133|68.6800|5.88|1.543|||
61.6460|50.3513|4.25|-0.011|λ||Per
61.6517|27.5999|5.18|-0.124|||Tau
61.7519|29.0013|5.21|0.359|ψ||Tau
61.9976|17.3399|5.89|1.497|||
62.1526|38.0397|5.52|0.520|||Per
62.1654|47.7125|3.96|-0.025|c|Nembus|Per
62.2565|13.3983|5.94|0.052|||
62.2915|19.6092|5.51|1.077|||Tau
62.3243|-16.3859|5.45|-0.147|||
62.5068|86.6261|5.84|0.393|||
62.5114|80.6987|5.10|0.589|||
62.5938|-6.9239|5.44|0.941|||Eri
62.6990|-8.8198|5.70|1.057|||
62.7078|26.4810|5.39|0.352|p||Tau
62.7108|-41.9936|4.93|0.334|δ||Hor
62.7459|33.5868|5.75|1.412|||
62.8345|5.5230|5.71|0.360|||Tau
62.9008|-20.3562|5.80|0.165|||
62.9664|-6.8376|4.04|0.327|ο1|Beid|Eri
63.3879|7.7160|5.29|0.366|||Tau
63.4849|9.2638|4.84|0.799|||Tau
63.5005|-42.2944|3.85|1.085|α||Hor
63.5987|-10.2563|4.87|1.156|A||Eri
63.6062|-62.4739|3.33|0.915|α||Ret
63.6510|10.0114|5.22|-0.085|||
63.7023|-62.1918|5.45|1.106|||
63.7222|40.4837|4.67|1.007|f||Per
63.7244|48.4093|4.12|0.935|μ||Per
63.8180|-7.6529|4.43|0.820|ο2|Keid|Eri
63.8836|8.8924|4.27|-0.054|μ||Tau
64.0066|-51.4866|4.26|0.312|γ||Dor
64.1210|-59.3022|4.44|1.078|ε||Ret
64.1795|53.6118|5.20|0.052|||
64.2231|61.8500|5.69|-0.116|||
64.2837|57.8604|5.72|1.108|||
64.3153|20.5786|4.93|0.259|ω||Tau
64.3301|-6.4722|5.95|1.078|||
64.4178|-63.2554|5.88|-0.061|θ||Ret
64.4736|-33.7983|3.55|-0.108|υ4|Beemim|Eri
64.4970|-80.2140|5.67|0.836|δ||Men
64.5609|50.2955|4.60|0.043|b||Per
64.5670|-20.7153|6.00|1.597|||
64.5967|21.5793|5.64|0.277|||Tau
64.8052|50.0487|5.46|0.235|||
64.8196|-44.2679|5.33|1.066|||
64.8587|21.1423|5.50|-0.069|||Tau
64.9029|21.7735|5.34|-0.107|||Tau
64.9483|15.6276|3.65|0.981|γ|Prima Hyadum|Tau
64.9904|14.0352|5.58|0.283|h||Tau
65.0480|50.9209|5.55|-0.031|b2||Per
65.0601|41.8081|5.95|0.962|||
65.0884|27.3508|4.97|1.150|φ|Alkalbain|Tau
65.1027|34.5667|4.93|0.950|||Per
65.1513|15.0955|5.26|0.225|||Tau
65.1626|-20.6396|5.38|-0.027|||
65.1680|65.1404|5.26|0.820|||
65.1719|6.1308|5.76|0.914|||
65.1785|-7.5925|5.85|-0.124|d||Eri
65.2419|-81.5799|5.78|0.359|ν||Men
65.3627|-0.0982|5.86|1.320|||
65.3882|46.4989|4.80|-0.022|d||Per
65.4485|60.7356|5.40|1.497|||
65.4659|56.5063|5.91|0.112|||
65.4722|-63.3864|5.24|0.955|η||Ret
65.5147|14.0772|5.72|0.315|||Tau
65.5947|20.8214|5.91|1.660|||
65.6456|25.6293|5.38|-0.041|χ||Tau
65.7337|17.5425|3.77|0.983|δ|Secunda Hyadum|Tau
65.7736|-24.8922|5.81|1.507|||
65.8544|16.7773|5.64|0.310|||Tau
65.8849|20.9820|6.00|0.029|V1141||Tau
65.9202|-3.7455|5.17|0.072|ξ||Eri
65.9659|9.4610|5.10|0.074|r||Tau
66.0092|-34.0168|3.97|1.468|undefined3|Beemim|Eri
66.0240|17.4441|4.80|0.154|||Tau
66.1215|34.1308|5.73|-0.054|||Per
66.1561|33.9597|5.77|0.400|||Per
66.2380|19.0420|5.97|0.378|||
66.2722|-61.2382|5.94|1.533|||
66.3424|22.2939|4.21|0.136|κ||Tau
66.3542|22.2000|5.27|0.250|||Tau
66.3724|17.9279|4.30|0.049|||Tau
66.5263|31.4389|5.29|0.986|||
66.5769|22.8136|4.28|0.263|υ||Tau
66.5864|15.6183|4.48|0.262|||Tau
66.6516|14.7138|4.69|0.979|π||Tau
66.7623|80.8242|5.42|1.179|||
66.8227|22.9963|5.53|-0.098|||Tau
66.8699|11.2123|5.87|0.049|||
66.9418|-62.5212|5.74|1.005|||
67.0033|21.6199|5.72|0.270|||
67.0553|83.8078|5.51|-0.106|V0408||Cep
67.0975|14.7410|5.90|0.325|||Tau
67.1099|16.3597|4.96|1.137|||Tau
67.1338|1.3808|5.53|-0.099|||Eri
67.1437|15.9622|3.84|0.952|θ1||Tau
67.1542|19.1804|3.53|1.014|ε|Ain|Tau
67.1627|-19.4589|5.95|1.215|||
67.1656|15.8709|3.40|0.179|θ2|Chamukuy|Tau
67.2090|13.0476|5.02|0.215|b||Tau
67.2789|-13.0484|5.61|-0.202|DU||Eri
67.5015|83.3404|5.47|0.855|||
67.5358|15.6378|5.58|0.324|||Tau
67.6401|16.1940|4.78|0.170|GJ170.1||
67.6557|13.7244|5.40|0.263|||Tau
67.6620|15.6919|5.47|0.258|||Tau
67.6680|-35.6535|5.95|1.005|||
67.7087|-44.9537|5.07|-0.194|δ||Cae
67.9694|-0.0440|4.91|1.320|||Eri
68.0077|53.9108|5.78|0.119|||Cam
68.1565|-3.2095|5.76|-0.117|DZ||Eri
68.3778|72.5286|5.94|0.306|||
68.3773|-29.7665|4.49|0.972|υ1|Beemim|Eri
68.3915|-62.8237|5.79|1.028|||
68.4622|14.8444|4.65|0.255|ρ||Tau
68.4780|-6.7389|5.71|-0.128|||Eri
68.4991|-55.0450|3.30|-0.079|α||Dor
68.5344|5.5686|5.67|0.055|||
68.5485|-8.2314|5.20|1.708|||Eri
68.5490|-8.9703|5.24|1.465|||
68.6583|28.9612|5.88|-0.048|||
68.8877|-30.5623|3.81|0.957|υ2|Theemin|Eri
68.9136|10.1608|4.25|0.184|d||Tau
68.9802|16.5093|0.87|1.538|α|Aldebaran|Tau
69.0798|-3.3525|3.93|-0.210|ν||Eri
69.1008|64.2616|5.91|-0.009|||
69.1726|41.2648|4.25|1.171|e||Per
69.1900|-62.0772|5.59|1.500|R||Dor
69.3070|0.9983|5.32|-0.107|||Eri
69.4005|-2.4735|5.22|0.283|c||Eri
69.5394|16.0333|5.78|0.312|||Tau
69.5394|12.5108|4.27|0.122|c1||Tau
69.5451|-14.3040|3.86|1.082|l|Sceptrum|Eri
69.5660|20.6847|5.85|-0.019|HU||Tau
69.7231|-12.1231|4.99|0.074|||
69.7757|7.8710|5.38|0.257|||
69.7884|15.7998|5.08|0.141|σ1||Tau
69.8188|15.9180|4.67|0.147|σ2||Tau
69.8321|-14.3592|5.46|1.054|||
69.9778|53.0795|5.07|1.079|||Cam
69.9920|53.4730|5.36|0.331|||Cam
70.0142|12.1976|5.45|-0.121|||Tau
70.0283|-24.4824|5.56|0.926|||
70.1105|-19.6715|4.32|1.599|||Eri
70.1405|-41.8638|4.44|0.342|α||Cae
70.3323|28.6150|5.73|0.018|||
70.3505|48.3009|5.66|0.002|||
70.4594|38.2802|5.97|0.593|||
70.5145|-37.1443|5.04|0.391|β||Cae
70.5613|22.9569|4.27|-0.112|τ||Tau
70.6934|-50.4813|5.30|0.977|λ||Pic
70.7264|43.3651|5.30|0.028|||Per
70.7665|-70.9310|5.53|-0.114|μ||Men
70.7887|-30.7656|5.66|1.391|||
70.8400|49.9738|5.86|0.013|||
70.8948|-8.7943|5.98|0.645|||Eri
71.0222|-8.5036|5.78|-0.076|||Eri
71.0333|-18.6666|5.53|0.025|||
71.0881|-59.7327|5.28|0.206|κ||Dor
71.1076|11.1461|5.39|0.251|||
71.2673|-21.2834|5.72|1.476|||
71.3756|-3.2547|4.01|-0.148|μ||Eri
71.5073|11.7056|5.35|0.197|||
71.5701|18.7347|5.99|1.221|||
71.6853|40.3126|5.99|0.934|||
71.9012|-16.9345|5.49|0.632|||Eri
72.0011|56.7572|5.29|0.246|||Cam
72.1356|-16.3295|5.76|0.537|||Eri
72.1516|-5.6740|5.77|0.631|||
72.2098|75.9412|5.96|0.283|||
72.3035|31.4374|5.57|1.132|||
72.3295|32.5882|5.84|0.250|||
72.4600|6.9613|3.19|0.484|π3|Tabit|Ori
72.4777|37.4883|4.89|1.447|||Aur
72.5484|-16.2172|5.03|0.992|||Eri
72.6530|8.9002|4.35|0.010|π2|Al Taj|Ori
72.7305|-53.4615|5.58|0.341|ι||Pic
72.7889|48.7407|5.64|1.013|||
72.8015|5.6051|3.68|-0.157|π4||Ori
72.8436|18.8399|5.08|0.214|i||Tau
72.8676|-34.9063|5.82|0.105|||
73.0217|63.5054|5.47|1.559|||
73.1332|14.2506|4.71|1.773|ο1|Al Kumm|Ori
73.1583|36.7032|4.79|1.414|||Aur
73.1963|27.8975|5.97|0.368|||
73.1990|42.5866|5.68|0.115|||
73.2236|-5.4527|4.36|0.257|ω||Eri
73.3449|2.5082|5.33|1.632|||Ori
73.5125|66.3427|4.26|-0.008|α||Cam
73.5629|2.4407|3.71|-0.179|π5||Ori
73.6954|11.4260|5.18|0.121|g|Manica|Ori
73.6991|7.7791|5.33|1.214|||
73.7113|0.4672|5.98|-0.116|||
73.7239|10.1508|4.64|0.085|π1||Ori
73.7630|55.2591|5.52|0.015|||Cam
73.7784|-16.7407|5.71|0.953|||
73.7967|-74.9369|5.47|1.518|η||Men
73.8277|-16.4178|5.71|0.874|R||Eri
73.9590|15.0403|5.79|-0.085|||
74.0295|52.8698|5.75|0.105|||
74.0928|13.5145|4.06|1.158|ο2||Ori
74.1008|-5.1714|5.50|-0.123|b||Eri
74.2484|33.1661|2.69|1.490|ι|Hassaleh|Aur
74.3217|53.7521|4.43|-0.017|||Cam
74.3431|17.1537|5.51|1.304|||
74.4527|23.9486|5.79|1.109|||Tau
74.5391|25.0504|5.79|0.018|k||Tau
74.6371|1.7140|4.47|1.369|π6||Ori
74.7124|-82.4705|5.84|0.932|ξ||Men
74.7557|-16.3760|5.65|0.447|||
74.8142|37.8902|4.93|0.037|||Aur
74.9602|-10.2633|5.39|0.797|||Eri
74.9822|-12.5374|4.78|0.267|||Eri
75.0764|39.3947|5.95|0.415|||Aur
75.0863|81.1941|5.09|1.304|||
75.3566|-20.0519|4.91|-0.047|||
75.3598|-7.1740|4.80|-0.164|ψ|Kursi al Jauzah|Eri
75.4598|0.7221|5.91|1.267|||
75.4922|43.8233|3.03|0.537|ε|Almaaz|Aur
75.5409|-26.2750|5.01|1.056|||
75.5950|-31.7713|5.92|1.170|||
75.6195|41.0758|3.69|1.154|ζ|Saclateni|Aur
75.6792|-71.3143|5.30|0.996|β||Men
75.6874|-22.7951|5.74|1.188|||Lep
75.6891|-4.2101|5.86|1.212|||
75.7029|-49.1514|5.37|0.421|η1||Pic
75.7739|21.5900|4.62|0.155|ι||Tau
75.8545|60.4422|4.03|0.921|β||Cam
75.9720|-24.3882|5.61|0.094|||
76.1017|-35.4830|4.55|1.177|γ||Cae
76.1423|15.4041|4.65|-0.064|||Ori
76.2417|-49.5778|5.05|1.484|η2||Pic
76.3175|-26.1524|5.71|1.166|||
76.3653|-22.3710|3.19|1.460|ε||Lep
76.3777|-57.4727|4.71|0.526|ζ||Dor
76.5352|58.9724|5.22|-0.080|||Cam
76.6238|61.1698|6.00|1.380|||
76.6287|41.2345|3.18|-0.148|η|Haedus|Aur
76.6693|51.5977|4.98|0.343|||Aur
76.6902|-4.6552|5.12|-0.059|||Eri
76.8540|-12.4913|5.97|0.606|||
76.8625|18.6451|4.91|0.657|m||Tau
76.8918|-63.3997|5.19|1.646|WZ||Dor
76.9517|20.4184|5.28|0.118|l||Tau
76.9624|-5.0864|2.78|0.161|β|Cursa|Eri
76.9704|8.4984|5.33|0.338|i||Ori
76.9810|21.7048|5.84|0.168|||Tau
77.0276|24.2652|5.50|0.030|||Tau
77.0841|-8.6653|5.80|-0.059|||
77.1821|-4.4562|5.11|0.455|||Eri
77.2866|-8.7541|4.25|-0.187|λ||Eri
77.3318|9.8296|5.43|0.249|h||Ori
77.4248|15.5972|4.81|0.313|||Ori
77.4379|28.0305|5.93|0.311|V1156||Tau
77.6788|46.9621|5.67|0.452|||
77.8299|-2.4908|5.89|0.462|||
77.8453|-11.8491|5.60|1.350|RX||Lep
77.9232|16.0457|5.18|1.525|||
77.9390|1.0370|5.88|0.662|||
78.0746|-11.8692|4.45|-0.099|ι||Lep
78.0936|73.9467|5.44|-0.108|BN||Cam
78.2005|-6.0572|5.90|0.960|||
78.2329|-16.2055|3.29|-0.110|μ||Lep
78.3078|-12.9413|4.36|-0.094|κ||Lep
78.3228|2.8613|4.46|1.166|ρ||Ori
78.3572|38.4845|4.82|0.189|μ|Alhiba|Aur
78.4394|-67.1853|4.81|1.274|θ||Dor
78.6202|-35.9770|5.75|1.009|||
78.6345|-8.2016|0.18|-0.030|β|Rigel|Ori
78.6835|5.1562|5.50|1.369|||
78.8516|32.6876|5.01|0.222|||Aur
78.8516|-26.9435|5.06|-0.067|||
79.0172|11.3414|5.52|-0.012|||Ori
79.0756|34.3123|5.99|0.199|AE||Aur
79.1723|45.9980|0.08|0.795|α|Capella|Aur
79.3712|-34.8952|4.81|0.987|ο||Col
79.4016|-6.8444|3.59|-0.115|τ||Ori
79.4177|-13.5198|5.48|0.932|||
79.5440|33.3716|4.54|1.252|||Aur
79.5552|73.2681|5.81|-0.023|||
79.5654|42.7921|5.55|1.492|PU||Aur
79.7103|-18.1301|5.96|0.572|GJ198||
79.7501|33.7484|5.38|-0.167|IQ||Aur
79.7853|40.0991|4.69|0.630|λ||Aur
79.7967|2.5958|5.34|0.412|||Ori
79.8192|22.0965|4.96|0.937|n||Tau
79.8422|-50.6060|5.44|0.517|ζ||Pic
79.8487|-27.3689|5.98|-0.022|||
79.8939|-13.1768|4.29|-0.235|λ||Lep
79.9959|-12.3156|5.29|-0.104|ν||Lep
80.0038|33.9581|5.05|0.287|||Aur
80.0611|41.0862|5.46|0.122|||
80.0942|62.6537|5.64|1.728|||
80.1122|-21.2398|4.70|-0.048|||
80.3029|29.5699|5.66|0.060|||
80.3827|-0.4165|5.68|-0.125|||
80.4315|8.4286|5.78|-0.114|||
80.4406|-0.3825|4.72|-0.168|o||Ori
80.4427|-24.7730|5.06|0.662|||
80.4517|41.8046|5.22|-0.129|ρ||Aur
80.6397|79.2311|5.08|0.506|GJ196||
80.7083|3.5445|4.99|-0.096|m||Ori
80.7096|41.0293|5.54|0.127|||
80.8271|-8.4156|5.99|-0.037|||
80.8501|-39.6784|5.73|1.626|SW||Col
80.8660|57.5444|5.24|-0.011|||Cam
80.8757|-13.9274|5.25|-0.219|||Lep
80.9263|-0.1598|5.69|-0.208|||
80.9868|-7.8081|4.13|0.943|e||Ori
81.1061|17.3835|5.00|0.544|||Tau
81.1187|-16.9758|5.64|-0.001|||
81.1192|-2.3971|3.35|-0.240|η|Saif al Jabbar|Ori
81.1205|-0.8913|5.07|0.961|p||Ori
81.1605|31.1431|5.94|0.034|||
81.1631|37.3853|5.02|1.445|σ||Aur
81.1868|1.8464|4.89|-0.200|||Ori
81.2573|-10.3289|5.60|1.543|||
81.2828|6.3497|1.64|-0.224|γ|Bellatrix|Ori
81.4993|-19.6954|5.78|0.441|||
81.5730|28.6075|1.65|-0.130|β|Elnath|Tau
81.5803|-58.9125|5.14|0.986|λ||Dor
81.7033|34.3918|5.92|0.138|||
81.7093|3.0957|4.59|-0.199|ψ||Ori
81.7722|-40.9435|5.86|0.239|||
81.7845|30.2086|5.69|0.175|||
81.7921|17.9622|5.40|-0.090|||Tau
81.9087|21.9370|4.88|-0.140|o||Tau
81.9120|34.4759|5.08|1.400|φ||Aur
81.9400|15.8741|5.52|0.015|||Tau
82.0067|17.2391|5.77|1.634|||Tau
82.0613|-20.7594|2.81|0.807|β|Nihal|Lep
82.0639|-37.2308|5.56|0.026|||
82.3188|25.1502|5.47|-0.042|||Tau
82.3487|-3.4464|5.80|1.149|||
82.4333|-1.0922|4.71|1.592|||Ori
82.4782|1.7893|5.77|-0.192|||
82.5395|-47.0777|5.46|0.615|||
82.5425|63.0672|5.43|1.704|||Cam
82.6090|15.3604|5.93|0.103|||
82.6960|5.9481|4.20|-0.143|||Ori
82.7027|41.4620|5.99|1.112|||
82.7818|-20.8637|5.53|0.012|||Lep
82.8031|-35.4705|3.86|1.130|ε||Col
82.8106|3.2921|5.46|-0.176|n1||Ori
82.9000|-45.9253|5.86|1.349|||
82.9709|-76.3410|5.18|1.130|γ||Men
82.9827|-7.3015|4.62|-0.261|υ|Thabit|Ori
83.0017|-0.2991|2.25|-0.175|δ|Mintaka|Ori
83.0531|18.5942|4.32|2.060||The Ruby Star|Tau
83.0589|17.0581|5.50|-0.004|||
83.1723|-1.5918|5.34|-0.188|||
83.1820|32.1920|4.71|0.281|χ||Aur
83.1826|-17.8223|2.58|0.211|α|Arneb|Lep
83.2142|-38.5134|5.45|1.224|||
83.2482|-64.2275|5.34|1.039|||Dor
83.2808|-35.1394|5.75|1.085|||
83.3810|-1.1561|5.36|-0.175|VV||Ori
83.3818|18.5402|5.67|-0.022|||Tau
83.4063|-62.4898|3.76|0.640|β||Dor
83.4762|14.3056|5.60|-0.118|||Ori
83.5169|-1.4703|5.92|1.535|||
83.5699|3.7669|5.32|0.051|n2||Ori
83.6866|-73.7413|5.79|1.717|WX||Men
83.7052|9.4896|4.39|-0.157|φ1|Heka|Ori
83.7542|-6.0093|5.67|-0.228|||
83.7612|-6.0020|4.78|-0.248|||
83.7845|9.9342|3.39|-0.160|λ|Meissa|Ori
83.8052|10.2401|5.60|0.149|||
83.8145|-33.0797|5.76|1.120|||
83.8159|-5.3873|4.98|0.000|θ1|Trapezium|Ori
83.8186|-5.3897|5.13|0.020|θ1|Becklin's Star|Ori
83.8454|-5.4161|4.98|-0.097|θ2||Ori
83.8465|-4.8384|4.58|-0.183|c|Mizan Batil|Ori
83.8583|-5.9099|2.75|-0.210|ι|Hatysa|Ori
83.8630|24.0396|5.37|-0.092|||Tau
83.9145|-4.8561|5.24|0.269|||Ori
84.0534|-1.2019|1.69|-0.184|ε|Alnilam|Ori
84.1467|54.4287|5.74|1.671|||
84.1487|-6.0648|5.71|-0.212|||
84.2266|9.2907|4.09|0.951|φ2||Ori
84.2656|17.0403|5.53|0.237|||Tau
84.2683|11.0350|5.97|1.592|||
84.2912|-80.4691|5.65|0.600|π||Men
84.2869|26.9245|5.83|-0.075|||
84.4112|21.1425|2.97|-0.148|ζ|Tianguan|Tau
84.4359|-28.6897|5.28|0.486|ν2||Col
84.5047|7.5414|5.87|-0.061|||
84.6582|-6.5740|5.96|-0.216|||
84.6587|30.4924|5.40|0.450|||Aur
84.6814|-40.7073|5.81|-0.078|||
84.6865|-2.6001|3.77|-0.190|σ||Ori
84.7212|-7.2128|4.77|0.139|d||Ori
84.7964|4.1215|4.50|-0.098|ω||Ori
84.8263|29.2152|5.98|0.144|V0433||Aur
84.8798|-3.5647|5.99|0.294|||
84.9122|-34.0741|2.65|-0.120|α|Phact|Col
84.9342|25.8971|5.18|-0.150|||Tau
84.9577|-32.6292|5.44|0.913|||
85.1897|-1.9426|1.74|-0.199|ζ|Alnitak|Ori
85.2113|-1.1288|4.95|-0.197|||
